ICAO,flight_count,Name
DLH,429230,Lufthansa
EWG,102515,Eurowings
RYR,49135,Ryanair
DLA,38829,Air Dolomiti
BCS,38704,European Air Transport
GWI,31641,Germanwings
KLM,31385,KLM Royal Dutch Airlines
AUA,26630,Austrian
THY,23339,Turkish Airlines
SWR,20874,Swiss
BAW,20198,British Airways
CFG,19711,Condor
AFR,19475,Air France
EJU,17314,easyJet Europe
PGT,17135,Pegasus
SXS,12740,SunExpress
SAS,12355,SAS
UPS,10840,UPS
CHX,10291,Hubschrauber IM Luftrettungsdienst
TUI,10289,TUIFly
LOT,9975,LOT - Polish Airlines
FIN,8755,Finnair
OCN,8636,Discover Airlines
AEE,8509,Aegean Airlines
NJE,8452,Netjets
UAL,8392,United Airlines
VLG,8177,Vueling Airlines
TAP,8140,TAP Portugal
BEL,7046,Brussels Airlines
BOX,6898,AeroLogic
ITY,6351,ITA Airways
EZY,5984,easyJet
SRR,5858,Maersk Air Cargo
IBE,5622,Iberia
EIN,5411,Aer Lingus
UAE,5353,Emirates
TKJ,5197,Ajet
BTI,4881,airBaltic
DHK,4875,DHL Air
LHX,4805,Lufthansa City
GAF,4463,German Air Force
WZZ,4460,Wizz Air
CFE,4166,BA Cityflyer
GEC,3974,Lufthansa Cargo
CTN,3712,Croatia Airlines
ASL,3567,Air Serbia
ABR,3491,ASL Airlines Ireland
NOZ,3395,Norwegian Air Shuttle AOC AS
TAY,3088,ASL Airlines Belgium
DCA,3081,Aerotaxi del Caribe
AEA,3002,Air Europa
FDX,2946,FedEx
DAL,2933,Delta Air Lines
CAI,2918,Corendon Airlines
MBU,2854,Marabu
ANE,2816,Air Nostrum
ACA,2723,Air Canada
LGL,2503,Luxair
IBS,2283,Iberia Express
EFD,2216,E Aviation / EFD Eisele Flugdienst
ICE,2179,Icelandair
SIA,2154,Singapore Airlines
SWT,2104,Swiftair
EZS,2073,Easyjet Switzerland
ADN,1975,Aero-Dienst
PBW,1947,Polizeihubschrauberstaffel Baden-Württemberg
NSZ,1752,Norwegian Air Sweden AOC
VJT,1722,VistaJet
SDR,1703,Sundair
VJH,1678,VistaJet
CXI,1675,Corendon Airlines Europe
ELY,1640,EL AL
WMT,1640,Wizz Air Malta
DCS,1631,DC Aviation
FHY,1626,Freebird Airlines
AAL,1603,American Airlines
ANA,1492,All Nippon Airways
KMM,1489,KM Malta Airlines
GPX,1456,GP Aviation
HUM,1431,Hummingbird Helicopters Maldives
MNB,1420,MNG Airlines
ATL,1388,Atlas Air Service
DIA,1366,Direct Air
THA,1321,Thai Airways International
SWU,1312,skyalps
GAC,1240,GlobeAir
SEH,1208,Sky Express
VOE,1142,Volotea
TVF,1128,Transavia France
DMS,1111,Diamond Sky
QTR,998,Qatar Airways
IFA,997,FAI Rent-a-Jet
SAR,991,SprintAir Cargo
UNI,943,Unicair
PWF,930,Private Wings
ROT,917,TAROM
ETD,907,Etihad
MGH,900,Mavi Gök Airlines (MGA)
JFA,893,Jetfly Aviation
SRN,867,SprintAir
DIP,860,Diplomatic Freight Services
DEN,799,SAS Danmark
EUL,795,EURO LINK
JEI,739,Jet Executive International Charter
DIL,731,Dialogaero
PAV,730,ProAir Aviation
DIS,714,Aerodis Aviacion
OEF,700,
TAH,696,Air Anka
DIE,689,
DIG,688,PassionAir
MSC,671,Air Cairo
PVD,668,PADAVIATION
AAR,664,Asiana Airlines
DIB,663,
ECA,654,Excellent Air
BTX,654,Volkswagen AirService
CAL,651,China Airlines
ART,642,Smartlynx Airlines
LZB,635,Bulgaria Air
FPY,632,Compagnie Africaine d'Aviation CAA
BFX,622,Fly Away
KAL,620,Korean Air
FPO,603,ASL Airlines France
